store,dept,date,weekly_sales,part,weekly_sales_lb,weekly_sales_ub,fcast_date
1,1,2010-02-05 00:00:00,24924.49999999998,actuals,,,
1,1,2010-02-12 00:00:00,46039.49,actuals,,,
1,1,2010-02-19 00:00:00,41595.55000000003,actuals,,,
1,1,2010-02-26 00:00:00,19403.539999999986,actuals,,,
1,1,2010-03-05 00:00:00,21827.899999999983,actuals,,,
1,1,2010-03-12 00:00:00,21043.38999999998,actuals,,,
1,1,2010-03-19 00:00:00,22136.640000000018,actuals,,,
1,1,2010-03-26 00:00:00,26229.21,actuals,,,
1,1,2010-04-02 00:00:00,57258.43000000002,actuals,,,
1,1,2010-04-09 00:00:00,42960.90999999997,actuals,,,
1,1,2010-04-16 00:00:00,17596.960000000006,actuals,,,
1,1,2010-04-23 00:00:00,16145.350000000011,actuals,,,
1,1,2010-04-30 00:00:00,16779.480853617395,actuals,,,
1,1,2010-05-07 00:00:00,17413.940000000013,actuals,,,
1,1,2010-05-14 00:00:00,18926.739999999994,actuals,,,
1,1,2010-05-21 00:00:00,14773.040000000014,actuals,,,
1,1,2010-05-28 00:00:00,15580.42999999999,actuals,,,
1,1,2010-06-04 00:00:00,17558.09000000001,actuals,,,
1,1,2010-06-11 00:00:00,16637.62,actuals,,,
1,1,2010-06-18 00:00:00,16216.270000000013,actuals,,,
1,1,2010-06-25 00:00:00,16328.72000000001,actuals,,,
1,1,2010-07-02 00:00:00,16333.140000000009,actuals,,,
1,1,2010-07-09 00:00:00,17688.76,actuals,,,
1,1,2010-07-16 00:00:00,17150.839999999986,actuals,,,
1,1,2010-07-23 00:00:00,15360.449999999997,actuals,,,
1,1,2010-07-30 00:00:00,15381.81999999999,actuals,,,
1,1,2010-08-06 00:00:00,17508.40999999999,actuals,,,
1,1,2010-08-13 00:00:00,15536.399999999989,actuals,,,
1,1,2010-08-20 00:00:00,15740.129999999997,actuals,,,
1,1,2010-08-27 00:00:00,15793.869999999999,actuals,,,
1,1,2010-09-03 00:00:00,16241.780000000002,actuals,,,
1,1,2010-09-10 00:00:00,18194.740000000013,actuals,,,
1,1,2010-09-17 00:00:00,19354.230000000003,actuals,,,
1,1,2010-09-24 00:00:00,18122.52,actuals,,,
1,1,2010-10-01 00:00:00,20094.190000000013,actuals,,,
1,1,2010-10-08 00:00:00,23388.03000000002,actuals,,,
1,1,2010-10-15 00:00:00,26978.34000000002,actuals,,,
1,1,2010-10-22 00:00:00,25543.04,actuals,,,
1,1,2010-10-29 00:00:00,38640.92999999998,actuals,,,
1,1,2010-11-05 00:00:00,34238.87999999998,actuals,,,
1,1,2010-11-12 00:00:00,19549.38999999999,actuals,,,
1,1,2010-11-19 00:00:00,19552.840000000015,actuals,,,
1,1,2010-11-26 00:00:00,18820.290000000008,actuals,,,
1,1,2010-12-03 00:00:00,22517.56,actuals,,,
1,1,2010-12-10 00:00:00,31497.650000000005,actuals,,,
1,1,2010-12-17 00:00:00,44912.85999999997,actuals,,,
1,1,2010-12-24 00:00:00,55931.22999999998,actuals,,,
1,1,2010-12-31 00:00:00,19124.580000000013,actuals,,,
1,1,2011-01-07 00:00:00,15984.239999999996,actuals,,,
1,1,2011-01-14 00:00:00,17359.700000000004,actuals,,,
1,1,2011-01-21 00:00:00,17341.470000000005,actuals,,,
1,1,2011-01-28 00:00:00,18461.179999999997,actuals,,,
1,1,2011-02-04 00:00:00,21665.759999999987,actuals,,,
1,1,2011-02-11 00:00:00,37887.170000000006,actuals,,,
1,1,2011-02-18 00:00:00,46845.86999999999,actuals,,,
1,1,2011-02-25 00:00:00,19363.83,actuals,,,
1,1,2011-03-04 00:00:00,20327.610000000015,actuals,,,
1,1,2011-03-11 00:00:00,21280.399999999987,actuals,,,
1,1,2011-03-18 00:00:00,20334.229999999992,actuals,,,
1,1,2011-03-25 00:00:00,20881.099999999984,actuals,,,
1,1,2011-04-01 00:00:00,20398.09000000001,actuals,,,
1,1,2011-04-08 00:00:00,23873.790000000005,actuals,,,
1,1,2011-04-15 00:00:00,28762.370000000017,actuals,,,
1,1,2011-04-22 00:00:00,50510.30999999999,actuals,,,
1,1,2011-04-29 00:00:00,41512.38999999999,actuals,,,
1,1,2011-05-06 00:00:00,20138.190000000002,actuals,,,
1,1,2011-05-13 00:00:00,17235.150000000012,actuals,,,
1,1,2011-05-20 00:00:00,15136.780000000002,actuals,,,
1,1,2011-05-27 00:00:00,15741.599999999997,actuals,,,
1,1,2011-06-03 00:00:00,16434.150000000005,actuals,,,
1,1,2011-06-10 00:00:00,15883.519999999991,actuals,,,
1,1,2011-06-17 00:00:00,14978.089999999998,actuals,,,
1,1,2011-06-24 00:00:00,15682.810000000003,actuals,,,
1,1,2011-07-01 00:00:00,15363.499999999995,actuals,,,
1,1,2011-07-08 00:00:00,16148.870000000003,actuals,,,
1,1,2011-07-15 00:00:00,15654.849999999997,actuals,,,
1,1,2011-07-22 00:00:00,15766.600000000002,actuals,,,
1,1,2011-07-29 00:00:00,15922.410000000007,actuals,,,
1,1,2011-08-05 00:00:00,15295.549999999992,actuals,,,
1,1,2011-08-12 00:00:00,14539.790000000005,actuals,,,
1,1,2011-08-19 00:00:00,14689.240000000009,actuals,,,
1,1,2011-08-26 00:00:00,14537.36999999999,actuals,,,
1,1,2011-09-02 00:00:00,15277.269999999993,actuals,,,
1,1,2011-09-09 00:00:00,17746.67999999999,actuals,,,
1,1,2011-09-16 00:00:00,18535.480000000014,actuals,,,
1,1,2011-09-23 00:00:00,17859.300000000003,actuals,,,
